_Category,_CaptionText,_Year,_MediaType,_MediaWidth,_MediaHeight,_Status,_ImageFile,_ImageWidth,_ImageHeight,_ImageKB,_CaptionID,_ThumbFile,_ThumbWidth,_ThumbHeight,_ThumbKB,_Notes,_Tags
Watercolor,Peering into Fall,2015,Watercolor,30,22,,PeeringIntoFall.jpg,400,514,,PeeringIntoFall,PeeringIntoFall_thumb.jpg,60,80,,,#orange #leaves #azelia #fallseason
Watercolor,Purple Perfection,2016,Watercolor and pencil,21,13,Private Collection -- Prints Available,PurplePerfection.jpg,400,250,,PurplePerfection,PurplePerfection_thumb.jpg,120,76,,,#blue #grapes #donkey #cart #vinyard
