_Category,_CaptionText,_Year,_MediaType,_MediaWidth,_MediaHeight,_Status,_ImageFile,_ImageWidth,_ImageHeight,_ImageKB,_CaptionID,_ThumbFile,_ThumbWidth,_ThumbHeight,_ThumbKB,_Notes,_tags,_OriginalFile,_OriginalWidth,_OriginalHeight,_OriginalKB,_Price
Acrylics,Market En Provence,2016,Acrylic,0,0,,MarketEnProvenceGail.jpg,,,,MarketEnProvence,MarketEnProvence_thumb.jpg,120,76,,,#provence #france #tables #fruits #fruitstand #lemonade #sunflowers #squash,,,,,"1,000"
Acrylics,On the Other Side,2015,Acrylic,36,24,,OntheOtherSide_hr.jpg,,,,OntheOtherSide,OntheOtherSide_thumb.jpg,120,76,,,,,,,,"1,000"
Acrylics,Aging to Perfection,2014,Acrylic on canvas,24,20,SOLD -- Prints Available,AgingToPerfection.jpg,,,,AgingToPerfection,AgingToPerfection_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,Basking in the Sun,2013,Acrylic,36,12,"SOLD -- Prints Available	",BaskingInTheSun.jpg,,,,BaskingInTheSun,BaskingInTheSun_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,Ready to Go,2016,Acrylic,36,24,Private Collection -- Prints Available,ReadyToGo.jpg,,,,ReadyToGo,ReadyToGo_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,First Blush,2015,Acrylic,24,20,SOLD -- Prints Available,FirstBlush.jpg,,,,FirstBlush,FirstBlush_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,The Grape Vine,2014,Acrylic,30,24,,TheGrapeVine.jpg,,,,TheGrapeVine,TheGrapeVine_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,Seeing Red,2013,Water Soluble Oil,30,40,SOLD -- Prints Available,SeeingRed.jpg,,,,SeeingRed,SeeingRed_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,Lost Art,2016,Acrylic,16,20,SOLD -- Prints Available,LostArt.jpg,,,,LostArt,LostArt_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,Slice of Heaven,2015,Acrylic,24,36,SOLD -- Prints Available,SliceOfHeaven.jpg,,,,SliceOfHeaven,SliceOfHeaven_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,Pause Cafe,2014,Acrylic,24,30,,TempDePause.jpg,,,,PauseCafe,TempDePause_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,Alley Cat,2013,Acrylic,24,48,SOLD -- Prints Available,AlleyCat.jpg,,,,AlleyCat,AlleyCat_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,The Wine Stop,2016,Acrylic,24,20,,TheWineStop.jpg,,,,TheWineStop,TheWineStop_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,Some Things Never Change,2015,Acrylic,16,40,,SomeThingsNeverChange.jpg,,,,SomeThingsNeverChange,SomeThingsNeverChange_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,The Gathering,2014,Acrylic,15,30,SOLD -- Prints Available,TheGathering.jpg,,,,TheGathering,TheGathering_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,Free Range,2013,Acrylic,20,10,SOLD -- Prints Available,FreeRange.jpg,,,,FreeRange,FreeRange_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,Bird's Eye View,2016,Acrylic,44,24,"SOLD -- Prints Available	",BirdsEyeView.jpg,,,,BirdsEyeView,BirdsEyeView_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,Field of Fleece,2015,Acrylic,15,30,,FieldOfFleece.jpg,,,,FieldOfFleece,FieldOfFleece_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,Morning Flight,2014,Acrylic,16,20,SOLD -- Prints Available,MorningFlight.jpg,,,,MorningFlight,MorningFlight_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,A Road Well Traveled,2013,Acrylic,12,20,SOLD -- Prints Available,ARoadWellTraveled.jpg,,,,ARoadWellTraveled,ARoadWellTraveled_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,Morning Reflection,2016,Acrylic,40,16,,MorningReflection.jpg,,,,MorningReflection,MorningReflection_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,The Human Condition,2015,Acrylic,24,36,,TheHumanCondition.jpg,,,,TheHumanCondition,TheHumanCondition_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,Lil' Hunter,2014,Acrylic on Yupo Paper,3.5,2.5,SOLD -- Prints Available,LilHunter.jpg,,,,LilHunter,LilHunter_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,Catch A Falling Star,2013,Acrylic,24,36,,CatchAfallingStar.jpg,,,,CatchAfallingStar,CatchAfallingStar_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,Daydream Breeze,2016,Acrylic,30,24,,DaydreamBreeze.jpg,,,,DaydreamBreeze,DaydreamBreeze_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,Fruitarian Nightmare,2015,Acrylic,12,12,"	",FruitarianNightmare.jpg,,,,FruitarianNightmare,FruitarianNightmare_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,Perilous Flight,2014,Acrylic,12,12,SOLD -- Prints Available,PerilousFlight.jpg,,,,PerilousFlight,PerilousFlight_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,Snohomish Barn,2013,Acrylic,12,12,SOLD -- Prints Available,SnohomishBarn.jpg,,,,SnohomishBarn,SnohomishBarn_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,"Play Time I, II, III",2016,Acrylic,15,7,SOLD -- Prints Available,PlayTime.jpg,,,,PlayTime,PlayTime_thumb.jpg,,,,Triptych - Panel Size 5x7,,,,,,"1,000"
Acrylics,Outfoxed,2015,Acrylic,36,18,,Outfoxed.jpg,,,,OutFoxed,Outfoxed_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,Snow Bunny,2014,Acrylic,18,36,,SnowBunny.jpg,,,,SnowBunny,SnowBunny_thumb.jpg,,,,,,,,,,"1,000"
Acrylics,The Box,2013,Acrylic,3.5,2.5,SOLD -- Prints Available,TheBox.jpg,,,,TheBox,TheBox_thumb.jpg,,,,,,,,,,"1,000"
Watercolor,Peering into Fall,2015,Watercolor,30,22,,PeeringIntoFall.jpg,400,514,,PeeringIntoFall,PeeringIntoFall_thumb.jpg,60,80,,,#orange #leaves #azelia #fallseason,,,,,"1,000"
Watercolor,Purple Perfection,2016,Watercolor and pencil,21,13,Private Collection -- Prints Available,PurplePerfection.jpg,400,250,,PurplePerfection,PurplePerfection_thumb.jpg,120,76,,,#blue #grapes #donkey #cart #vinyard,,,,,"1,000"
Watercolor,The Fisherman,2014,Watercolor,18,14,,TheFisherman.jpg,,,,TheFisherman,TheFisherman_thumb.jpg,,,,,,,,,,"1,000"
Watercolor,When We Were Giants,2013,Watercolor,16,18,,WhenWeWereGiants.jpg,,,,WhenWeWereGiants,WhenWeWereGiants_thumb.jpg,,,,,,,,,,"1,000"
Watercolor,Downpour,2015,Watercolor,10,6.5,SOLD -- Prints Available,Downpour.jpg,,,,Downpour,Downpour_thumb.jpg,,,,,,,,,,"1,000"
Watercolor,Seasonal Change,2016,Watercolor,15,11,,SeasonalChange.jpg,,,,SeasonalChange,SeasonalChange_thumb.jpg,,,,,,,,,,"1,000"
